time_ms,yaw_deg
1784533428823,-14.549524
1784533428828,-14.551596
1784533428833,-14.554450
1784533428838,-14.555328
1784533428843,-14.557297
1784533428848,-14.559083
1784533428853,-14.560017
1784533428858,-14.562492
1784533428863,-14.564622
1784533428868,-14.566429
1784533428873,-14.568570
1784533428878,-14.569962
1784533428883,-14.571901
1784533428888,-14.572515
1784533428893,-14.575550
1784533428898,-14.578151
1784533428903,-14.580041
1784533428908,-14.582123
1784533428913,-14.583518
1784533428918,-14.583685
1784533428923,-14.585374
1784533428928,-14.586137
1784533428933,-14.586113
1784533428938,-14.587838
1784533428943,-14.591368
1784533428948,-14.591921
1784533428953,-14.595532
1784533428958,-14.597721
1784533428963,-14.598924
1784533428968,-14.600877
1784533428973,-14.602795
1784533428978,-14.603430
1784533428983,-14.605972
1784533428988,-14.607480
1784533428993,-14.609532
1784533428998,-14.610854
1784533429003,-14.612051
1784533429008,-14.614373
1784533429013,-14.616639
1784533429018,-14.616757
1784533429023,-14.618162
1784533429028,-14.620532
1784533429033,-14.623579
1784533429038,-14.624779
1784533429043,-14.624526
1784533429048,-14.626472
1784533429053,-14.627632
1784533429058,-14.630596
1784533429063,-14.631097
1784533429068,-14.632862
1784533429073,-14.633747
1784533429078,-14.636227
1784533429083,-14.638538
1784533429088,-14.640483
1784533429093,-14.642884
1784533429098,-14.645761
1784533429103,-14.647656
1784533429108,-14.649954
1784533429113,-14.650274
1784533429118,-14.652293
1784533429123,-14.655430
1784533429128,-14.656463
1784533429133,-14.657284
1784533429138,-14.659842
1784533429143,-14.661474
1784533429148,-14.664762
1784533429153,-14.667607
1784533429158,-14.669881
1784533429163,-14.670760
1784533429168,-14.674113
1784533429173,-14.674558
1784533429178,-14.675833
1784533429183,-14.677771
1784533429188,-14.677647
1784533429193,-14.678939
1784533429198,-14.681680
1784533429203,-14.682468
1784533429208,-14.684259
1784533429213,-14.686978
1784533429218,-14.689698
1784533429223,-14.692031
1784533429228,-14.692306
1784533429233,-14.694522
1784533429238,-14.696643
1784533429243,-14.699285
1784533429248,-14.698798
1784533429253,-14.700577
1784533429258,-14.703852
1784533429263,-14.704936
1784533429268,-14.708794
1784533429273,-14.710796
1784533429278,-14.712438
1784533429283,-14.713058
1784533429288,-14.715081
1784533429293,-14.716252
1784533429298,-14.718637
1784533429303,-14.720430
1784533429308,-14.721733
1784533429313,-14.723305
1784533429318,-14.724877
1784533429323,-14.727625
1784533429328,-14.729785
1784533429333,-14.732641
1784533429338,-14.733250
1784533429343,-14.734122
1784533429348,-14.736687
1784533429353,-14.738402
1784533429358,-14.738920
1784533429363,-14.741498
1784533429368,-14.744038
1784533429373,-14.746271
1784533429378,-14.747663
1784533429383,-14.749273
1784533429388,-14.748438
1784533429393,-14.750998
1784533429398,-14.754196
1784533429403,-14.754901
1784533429408,-14.758292
1784533429413,-14.759576
1784533429418,-14.762100
1784533429423,-14.763700
1784533429428,-14.766071
1784533429433,-14.768667
1784533429438,-14.768769
1784533429443,-14.771348
1784533429448,-14.773703
1784533429453,-14.774565
1784533429458,-14.775494
1784533429463,-14.777260
1784533429468,-14.778997
1784533429473,-14.780229
1784533429478,-14.781976
1784533429483,-14.784092
1784533429488,-14.785939
1784533429493,-14.786706
1784533429498,-14.789047
1784533429503,-14.790601
1784533429508,-14.793124
1784533429513,-14.795701
1784533429518,-14.798220
1784533429523,-14.801877
1784533429528,-14.803144
1784533429533,-14.804966
1784533429538,-14.807201
1784533429543,-14.808830
1784533429548,-14.809672
1784533429553,-14.810842
1784533429558,-14.812461
1784533429563,-14.813048
1784533429568,-14.813384
1784533429573,-14.815420
1784533429578,-14.817083
1784533429583,-14.817477
1784533429588,-14.819892
1784533429593,-14.821540
1784533429598,-14.823316
1784533429603,-14.824847
1784533429608,-14.827079
1784533429613,-14.828040
1784533429618,-14.829116
1784533429623,-14.830265
1784533429628,-14.832504
1784533429633,-14.832470
1784533429638,-14.834703
1784533429643,-14.834958
1784533429648,-14.836296
1784533429653,-14.839244
1784533429658,-14.840149
1784533429663,-14.842731
1784533429668,-14.843990
1784533429673,-14.846345
1784533429678,-14.848220
1784533429683,-14.849620
1784533429688,-14.851338
1784533429693,-14.853447
1784533429698,-14.855424
1784533429703,-14.856899
1784533429708,-14.858047
1784533429713,-14.859020
1784533429718,-14.860966
1784533429723,-14.862369
1784533429728,-14.864008
1784533429733,-14.866138
1784533429738,-14.867693
1784533429743,-14.868618
1784533429748,-14.871907
1784533429753,-14.874724
1784533429758,-14.875505
1784533429763,-14.877388
1784533429768,-14.880537
1784533429773,-14.880621
1784533429778,-14.882503
1784533429783,-14.884026
1784533429788,-14.885213
1784533429793,-14.886252
1784533429798,-14.888309
1784533429803,-14.889637
1784533429808,-14.891068
1784533429813,-14.892714
1784533429818,-14.895000
1784533429823,-14.896612
1784533429829,-14.899034
1784533429833,-14.901827
1784533429838,-14.904186
1784533429843,-14.906210
1784533429848,-14.908953
1784533429853,-14.911791
1784533429858,-14.913409
1784533429863,-14.914495
1784533429868,-14.916327
1784533429873,-14.917505
1784533429878,-14.919505
1784533429883,-14.920630
1784533429888,-14.923318
1784533429893,-14.924411
1784533429898,-14.926525
1784533429903,-14.927238
1784533429908,-14.929290
1784533429913,-14.932315
1784533429918,-14.933290
1784533429923,-14.934427
1784533429928,-14.935585
1784533429933,-14.936454
1784533429938,-14.938508
1784533429943,-14.940207
1784533429948,-14.940865
1784533429953,-14.943228
1784533429958,-14.944280
1784533429963,-14.945344
1784533429968,-14.947677
1784533429973,-14.949317
1784533429978,-14.950840
1784533429983,-14.952194
1784533429988,-14.953186
1784533429993,-14.955680
1784533429998,-14.957264
1784533430003,-14.958463
1784533430008,-14.960874
1784533430013,-14.961432
1784533430018,-14.963886
1784533430023,-14.964774
1784533430028,-14.966360
1784533430033,-14.969152
1784533430038,-14.971162
1784533430043,-14.973294
1784533430048,-14.975757
1784533430053,-14.976806
1784533430058,-14.978830
1784533430063,-14.980494
1784533430068,-14.982548
1784533430073,-14.984168
1784533430078,-14.987270
1784533430083,-14.989115
1784533430088,-14.991266
1784533430093,-14.992450
1784533430098,-14.995649
1784533430103,-14.996145
1784533430108,-14.998638
1784533430113,-14.999388
1784533430118,-15.000824
1784533430123,-15.001885
1784533430128,-15.003431
1784533430133,-15.003914
1784533430138,-15.005886
1784533430143,-15.006952
1784533430148,-15.009154
1784533430153,-15.010901
1784533430158,-15.013306
1784533430163,-15.015029
1784533430168,-15.016398
1784533430173,-15.018779
1784533430178,-15.020466
1784533430183,-15.021458
1784533430188,-15.023481
1784533430193,-15.025677
1784533430198,-15.027828
1784533430203,-15.028440
1784533430208,-15.030502
1784533430213,-15.032593
1784533430218,-15.033721
1784533430223,-15.035963
1784533430228,-15.037577
1784533430233,-15.037983
1784533430238,-15.040420
1784533430243,-15.041016
1784533430248,-15.044728
1784533430254,-15.044117
1784533430258,-15.046098
1784533430264,-15.048770
1784533430269,-15.050836
1784533430273,-15.050578
1784533430279,-15.053213
1784533430283,-15.055503
1784533430288,-15.057615
1784533430293,-15.059244
1784533430298,-15.061249
1784533430303,-15.063209
1784533430308,-15.064683
1784533430313,-15.065929
1784533430318,-15.069361
1784533430323,-15.070705
1784533430328,-15.070749
1784533430333,-15.072993
1784533430338,-15.074704
1784533430343,-15.076900
1784533430348,-15.078906
1784533430353,-15.080919
1784533430358,-15.082811
1784533430363,-15.084552
1784533430368,-15.085298
1784533430373,-15.086998
1784533430378,-15.088467
1784533430383,-15.092609
1784533430388,-15.093296
1784533430393,-15.095335
1784533430398,-15.097107
1784533430403,-15.097373
1784533430408,-15.100511
1784533430413,-15.102163
1784533430418,-15.104840
1784533430423,-15.106615
1784533430428,-15.108847
1784533430433,-15.109907
1784533430438,-15.111644
1784533430443,-15.113575
1784533430448,-15.115390
1784533430453,-15.117010
1784533430458,-15.118556
1784533430463,-15.121064
1784533430468,-15.122890
1784533430473,-15.123886
1784533430478,-15.125182
1784533430483,-15.128821
1784533430488,-15.129378
1784533430493,-15.131945
1784533430498,-15.133889
1784533430503,-15.137472
1784533430508,-15.139611
1784533430513,-15.141393
1784533430518,-15.142851
1784533430523,-15.144828
1784533430528,-15.146783
1784533430533,-15.149761
1784533430538,-15.151166
1784533430543,-15.152746
1784533430548,-15.154213
1784533430553,-15.155898
1784533430558,-15.158509
1784533430563,-15.160503
1784533430568,-15.163724
1784533430573,-15.166239
1784533430578,-15.167686
1784533430583,-15.169138
1784533430588,-15.170680
1784533430593,-15.173283
1784533430598,-15.174679
1784533430603,-15.175931
1784533430608,-15.177197
1784533430613,-15.178504
1784533430618,-15.179887
1784533430623,-15.182016
1784533430629,-15.183809
1784533430633,-15.186055
1784533430638,-15.187736
1784533430643,-15.189333
1784533430648,-15.191167
1784533430653,-15.192380
1784533430658,-15.194426
1784533430663,-15.194949
1784533430668,-15.196703
1784533430673,-15.198194
1784533430678,-15.200736
1784533430683,-15.202961
1784533430688,-15.205395
1784533430693,-15.205946
1784533430698,-15.207553
1784533430703,-15.209752
1784533430708,-15.211858
1784533430713,-15.213385
1784533430718,-15.214730
1784533430723,-15.217383
1784533430728,-15.219384
1784533430733,-15.219651
1784533430738,-15.222302
1784533430743,-15.223711
1784533430748,-15.226205
1784533430753,-15.226432
1784533430758,-15.228952
1784533430763,-15.231083
1784533430768,-15.234032
1784533430773,-15.235120
1784533430778,-15.237123
1784533430783,-15.237077
1784533430788,-15.239373
1784533430793,-15.240778
1784533430798,-15.242387
1784533430803,-15.244424
1784533430808,-15.247849
1784533430813,-15.249284
1784533430818,-15.252185
1784533430823,-15.254965
1784533430828,-15.256998
1784533430833,-15.259598
1784533430838,-15.260639
1784533430843,-15.262940
1784533430848,-15.264023
1784533430853,-15.266031
1784533430858,-15.268645
1784533430863,-15.269769
1784533430868,-15.272532
1784533430873,-15.273806
1784533430878,-15.276633
