time_ms,has_target,X_cam,Y_cam,Z_cam
1784614288706,1,0.853000,-0.038454,-0.047015
1784614288739,1,0.849000,-0.039679,-0.045385
1784614288773,1,0.846000,-0.040940,-0.041012
1784614288807,1,0.842000,-0.041443,-0.038722
1784614288840,1,0.836000,-0.042532,-0.039834
1784614288873,1,0.832000,-0.043706,-0.043786
1784614288908,1,0.828000,-0.046238,-0.044950
1784614288940,1,0.821000,-0.046527,-0.045251
1784614288974,1,0.816000,-0.045568,-0.044298
1784614289008,1,0.808000,-0.045790,-0.044535
1784614289042,1,0.800000,-0.048648,-0.048741
1784614289075,1,0.792000,-0.048161,-0.053512
1784614289109,1,0.784000,-0.050271,-0.055574
1784614289142,1,0.773000,-0.045726,-0.056078
1784614289177,1,0.764000,-0.044561,-0.059863
1784614289209,1,0.756000,-0.043469,-0.062373
1784614289244,1,0.747000,-0.039241,-0.067830
1784614289277,1,0.740000,-0.032135,-0.067809
1784614289310,1,0.732000,-0.028151,-0.067076
1784614289344,1,0.723000,-0.022418,-0.066851
1784614289378,1,0.719000,-0.018128,-0.065885
1784614289411,1,0.711000,-0.013806,-0.064561
1784614289446,1,0.705000,-0.014273,-0.062261
1784614289479,1,0.700000,-0.018228,-0.061239
1784614289513,1,0.695000,-0.023276,-0.061378
1784614289547,1,0.690000,-0.030535,-0.059219
1784614289581,1,0.687000,-0.033814,-0.058961
1784614289614,1,0.684000,-0.035932,-0.059839
1784614289647,1,0.682000,-0.035262,-0.060230
1784614289682,1,0.679000,-0.036231,-0.058838
1784614289715,1,0.678000,-0.035616,-0.058189
1784614289748,1,0.677000,-0.035003,-0.055294
1784614289782,1,0.675000,-0.036576,-0.053450
1784614289815,1,0.676000,-0.037190,-0.049602
1784614289848,1,0.674000,-0.038754,-0.045539
1784614289882,1,0.675000,-0.040488,-0.041686
1784614289916,1,0.674000,-0.038196,-0.037149
1784614289950,1,0.674000,-0.038196,-0.036030
1784614289983,1,0.675000,-0.038253,-0.032723
1784614290017,1,0.676000,-0.036071,-0.029405
1784614290050,1,0.675000,-0.034341,-0.027681
1784614290084,1,0.677000,-0.031080,-0.024392
1784614290118,1,0.676000,-0.031594,-0.021551
1784614290150,1,0.676000,-0.031594,-0.019306
1784614290186,1,0.677000,-0.029959,-0.018773
1784614290217,1,0.678000,-0.029442,-0.020489
1784614290253,1,0.678000,-0.027197,-0.017113
1784614290287,1,0.676000,-0.025998,-0.013696
1784614290320,1,0.676000,-0.027117,-0.013696
1784614290354,1,0.676000,-0.028236,-0.014818
1784614290387,1,0.676000,-0.026557,-0.014257
1784614290421,1,0.674000,-0.027595,-0.011978
1784614290453,1,0.674000,-0.028711,-0.014215
1784614290488,1,0.673000,-0.027554,-0.014194
1784614290524,1,0.673000,-0.026997,-0.014752
1784614290556,1,0.672000,-0.028069,-0.014731
1784614290590,1,0.671000,-0.028583,-0.014152
1784614290622,1,0.670000,-0.026876,-0.012462
1784614290656,1,0.671000,-0.027472,-0.011924
1784614290690,1,0.670000,-0.026876,-0.009126
1784614290724,1,0.669000,-0.026282,-0.005226
1784614290758,1,0.668000,-0.025690,0.000880
1784614290792,1,0.669000,-0.022959,0.006989
1784614290824,1,0.668000,-0.021819,0.016957
1784614290857,1,0.670000,-0.022994,0.025905
1784614290890,1,0.670000,-0.022439,0.037582
